model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),Operating System,graphics,screen_size(inches),resolution (pixels),no_of_cores,no_of_threads,spec_score,price,gpu_brand,gpu_type,gpu_vram,gpu_series,cpu_brand,cpu_family,cpu_generation,cpu_series
HP Envy x360 13-bf0059TU Laptop,HP,12th Gen Core i7,16,512,0,Windows,INTEL IRIS X,13.3,2880 x 1800,10,12,68,102123,INTEL,Integrated,0,OTHER,INTEL,CORE I7,12,OTHER
Asus ZenBook Pro Duo 14 OLED 2022 UX8402ZE-M711WS Laptop,Asus,12th Gen Core i7,16,1000,0,Windows,4 GB NVIDIA RTX 3050 TI,14.5,2880 x 1800,14,20,81,159990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I7,12,OTHER
Dell Vostro 3425 D552305WIN9BE Laptop,Dell,AMD Ryzen 3 5425U,8,256,0,Windows,AMD RADEON AMD,14.0,1920 x 1080,4,8,59,38663,AMD,Integrated,0,OTHER,AMD,RYZEN 3,5000,U
Lenovo Ideapad Slim 3 82H802KVIN Laptop,Lenovo,11th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,4,8,59,55490,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
Dell Vostro 3425 D552309WIN9BE Laptop,Dell,AMD Ryzen 3 5425U,8,512,0,Windows,AMD RADEON AMD,14.0,1920 x 1080,4,8,61,38990,AMD,Integrated,0,OTHER,AMD,RYZEN 3,5000,U
Acer Extensa EX215-54 NX.EGJSI.00N Laptop,Acer,11th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,4,8,59,40990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
HP Pavilion 15s-FR5007TU Laptop,HP,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,59,59490,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Lenovo Ideapad Slim 3i 81WQ00NXIN Laptop,Lenovo,Intel Celeron N4020,8,256,0,Windows,INTEL INTEGRATED UHD,15.6,1366 x 768,2,2,49,28980,INTEL,Integrated,0,UHD,INTEL,CELERON,0,OTHER
Asus Vivobook 15 2022 X1502ZA-EJ302WS Laptop,Asus,12th Gen Core i3,8,256,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,51,40990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I3,12,OTHER
HP 15s-ey1508AU Laptop,HP,AMD Ryzen 3 3250U,8,256,0,Windows,AMD RADEON RADEON,15.6,1366 x 768,2,4,55,29990,AMD,Integrated,0,OTHER,AMD,RYZEN 3,3000,U
MSI Thin GF63 11UC-866IN Gaming Laptop,MSI,11th Gen Core i7,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,8,16,69,65590,NVIDIA,Dedicated,4,RTX,INTEL,CORE I7,11,OTHER
Asus Vivobook Pro 15 OLED M6500IH-L1701WS Laptop,Asus,Ryzen 7-4800H,16,512,0,Windows,4 GB NVIDIA GTX 1650 MAX Q,15.6,1920 x 1080,8,16,68,64990,NVIDIA,Dedicated,4,GTX,AMD,RYZEN 7,4000,H
Lenovo IdeaPad Slim 3 82KU017EIN Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,6,12,65,48990,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
Lenovo Ideapad Gaming 3 82K201UKIN Laptop,Lenovo,Ryzen 7 5800H,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,8,16,67,77850,NVIDIA,Dedicated,4,RTX,AMD,RYZEN 7,5000,H
Lenovo IdeaPad 3 14ITL6 82H701DYIN Laptop,Lenovo,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,2,4,50,37990,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Dell Latitude 5320 Business Laptop,Dell,11th Gen Core i5,8,512,0,Windows,INTEL UHD,13.3,1920 x 1080,4,8,62,102400,INTEL,Integrated,0,UHD,INTEL,CORE I5,11,OTHER
MSI Thin GF63 11UC-867IN Gaming Laptop,MSI,11th Gen Core i5,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,6,12,67,56990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,11,OTHER
HP 15s-fr2514TU Laptop,HP,11th Gen Core i3,8,256,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,44,38499,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Asus Zenbook Flip 14 OLED UP5401ZA-KN501WS Laptop,Asus,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,14.0,2880 x 1800,12,16,65,85990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Acer Aspire 3 A315-23 UN.HVTSI.013 Laptop,Acer,Ryzen 3 3250U,8,256,0,Windows,AMD RADEON AMD,15.6,1920 x 1200,2,4,54,26990,AMD,Integrated,0,OTHER,AMD,RYZEN 3,3000,U
HP 15s-dr3506TU Laptop,HP,11th Gen Core i3,8,256,1000,Windows,INTEL UHD,15.6,1920 x 1080,2,4,61,43990,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
HP 14s-fq0568AU Laptop,HP,AMD Athlon 3050U,8,256,0,Windows,AMD RADEON AMD,14.0,1366 x 768,2,2,50,25758,AMD,Integrated,0,OTHER,AMD,ATHLON,0,U
HP 15s-du3614TU Laptop,HP,11th Gen Core i3,8,256,1000,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,61,40390,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
HP 15s-eq1560AU Laptop,HP,AMD Ryzen 3 3250U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,2,4,61,37990,AMD,Integrated,0,OTHER,AMD,RYZEN 3,3000,U
Dell Inspiron 3525 Laptop,Dell,AMD Ryzen3 5425U,8,512,0,Windows,AMD RADEON RADEON,15.6,1920 x 1080,4,8,63,40663,AMD,Integrated,0,OTHER,AMD,OTHER,0,U
Lenovo IdeaPad Gaming 3 82K10198IN Laptop,Lenovo,11th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,4,8,68,54451,NVIDIA,Dedicated,4,GTX,INTEL,CORE I5,11,OTHER
Acer Predator Helios 500 Ph517-52 Gaming Laptop,Acer,11th Gen Core i9,64,2000,1000,Windows,16 GB NVIDIA RTX 3080,17.3,3840 x 2160,8,16,97,432159,NVIDIA,Dedicated,16,RTX,INTEL,CORE I9,11,OTHER
Lenovo Ideapad Gaming 3 82K201UNIN Laptop,Lenovo,Ryzen 7 5800H,16,512,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,8,16,75,90700,NVIDIA,Dedicated,6,RTX,AMD,RYZEN 7,5000,H
Lenovo IdeaPad Slim 3 82H701DNIN Laptop,Lenovo,11th Gen Core i3,8,512,0,Windows,INTEL UHD,14.0,1920 x 1080,2,4,48,37700,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Dell Vostro 5625 laptop,Dell,Ryzen 5-5625U,8,512,0,Windows,AMD RADEON,16.0,1920 x 1200,6,12,71,57990,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
HP Pavilion 14-eh0024TU Laptop,HP,12th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE,14.0,2880 x 1800,14,20,74,91990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Dell XPS 13 Plus 9320 Laptop,Dell,12th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE,13.4,3840 x 2400,12,16,71,178500,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Asus ZenBook Pro Duo 15 OLED 2022 UX582ZM-H701WS Laptop,Asus,12th Gen Core i7,32,1000,0,Windows,6 GB NVIDIA RTX 3060,15.6,3840 x 2160,14,20,91,199990,NVIDIA,Dedicated,6,RTX,INTEL,CORE I7,12,OTHER
Dell Alienware x14 Gaming Laptop,Dell,12th Gen Core i7,16,512,0,Windows,4 GB NVIDIA RTX 3050 TI,15.6,1920 x 1080,14,20,76,169990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I7,12,OTHER
HP Victus 15-fa0354TX Laptop,HP,12th Gen Core i7,16,512,0,Windows,4 GB NVIDIA RTX 3050 TI,15.6,1920 x 1080,10,16,63,94699,NVIDIA,Dedicated,4,RTX,INTEL,CORE I7,12,OTHER
HP 15s-fq2671TU Laptop,HP,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,55,41500,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
MSI Katana GF66 11UE-861IN Gaming Laptop,MSI,11th Gen Core i7,16,512,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,8,16,74,85990,NVIDIA,Dedicated,6,RTX,INTEL,CORE I7,11,OTHER
Lenovo Yoga Slim 7 Pro 82NC00EWIN Laptop,Lenovo,11th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,14.0,2880 x 1800,4,8,62,71990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
HP 15s- fr2512TU Laptop,HP,11th Gen Core i3,8,256,0,Windows,INTEL UHD,15.6,1920 x 1080,4,8,47,41890,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Lenovo IdeaPad Slim 3 82RK006DIN Laptop,Lenovo,12th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,6,8,50,43999,INTEL,Integrated,0,UHD,INTEL,CORE I3,12,OTHER
HP Victus 16-e0650AX Gaming Laptop,HP,AMD Ryzen 7 5800H,8,512,0,Windows,4 GB NVIDIA GTX 1650,16.1,1920 x 1080,8,16,74,71990,NVIDIA,Dedicated,4,GTX,AMD,RYZEN 7,5000,H
Lenovo V15 82KBA03TIH Laptop,Lenovo,11th Gen Core i3,8,256,1000,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,50,37000,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Lenovo IdeaPad Gaming 3 82K101B7IN Laptop,Lenovo,11th Gen Core i5,16,256,1000,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,4,8,72,77750,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,11,OTHER
Dell Inspiron 7420 D560780WIN9S Laptop,Dell,12th Gen Core i3,8,256,0,Windows,MISSING,14.0,1920 x 1200,6,8,65,53906,OTHER,Integrated,0,OTHER,INTEL,CORE I3,12,OTHER
Dell Inspiron 7420 Laptop,Dell,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1200,10,12,54,74990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Dell Inspiron 7620 Laptop,Dell,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,16.0,1920 x 1200,10,12,61,94500,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Dell Inspiron 7420 2-in-1 Laptop,Dell,12th Gen Core i7,16,512,0,Windows,2 GBNVIDIA MX550,14.0,1920 x 1200,10,12,63,102990,NVIDIA,Dedicated,2,MX,INTEL,CORE I7,12,OTHER
Asus ROG Strix G15 G513IE-HN040WS Gaming Laptop,Asus,Ryzen 7 4800H,16,1000,0,Windows,4 GB NVIDIA RTX 3050 TI,15.6,1920 x 1080,8,16,75,85990,NVIDIA,Dedicated,4,RTX,AMD,RYZEN 7,4000,H
Infinix INBook X1 Slim XL21 Laptop,Infinix,10th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,4,8,51,46990,INTEL,Integrated,0,UHD,INTEL,CORE I5,10,OTHER
HP 255 G8 62Y23PA Laptop,HP,Ryzen 3 3250U,8,512,0,Windows,AMD RADEON VEGA 8,15.6,1920 x 1080,2,4,56,32083,AMD,Integrated,0,VEGA,AMD,RYZEN 3,3000,U
Asus Vivobook 16X 2022 M1603QA-MB711WS Laptop,Asus,Ryzen 7-5800H,16,512,0,Windows,AMD RADEON VEGA 7,16.0,1920 x 1200,8,16,72,66990,AMD,Integrated,0,VEGA,AMD,RYZEN 7,5000,H
HP Pavilion 15-eg2036TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,12,16,63,69990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Asus TUF Gaming F17 FX707ZM-HX030WS Laptop,Asus,12th Gen Core i7,16,1000,0,Windows,6 GB NVIDIA RTX 3060,17.3,1920 x 1080,14,20,76,109990,NVIDIA,Dedicated,6,RTX,INTEL,CORE I7,12,OTHER
Asus Vivobook Pro 14 OLED M3400QA-KM702WS Gaming Laptop,Asus,Ryzen 7 5800H,16,512,0,Windows,AMD RADEON,14.0,2880 x 1800,8,16,71,64990,AMD,Integrated,0,OTHER,AMD,RYZEN 7,5000,H
Infinix INBook X1 Slim Series XL21 Laptop,Infinix,10th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,2,4,47,33490,INTEL,Integrated,0,UHD,INTEL,CORE I3,10,OTHER
Asus TUF Gaming A15 FA506ICB-HN005W Laptop,Asus,Ryzen 7 4800H,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,8,16,68,69990,NVIDIA,Dedicated,4,RTX,AMD,RYZEN 7,4000,H
Asus TUF Gaming F15 FX577ZM-HQ067WS Laptop,Asus,12th Gen Core i7,16,1000,0,Windows,6 GB NVIDIA RTX 3060,15.6,2560 x 1440,14,20,81,122990,NVIDIA,Dedicated,6,RTX,INTEL,CORE I7,12,OTHER
Acer Aspire Vero AV15-51-5155 Laptop,Acer,11th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,4,8,66,54990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
Apple MacBook Air 2022 Laptop,Apple,Apple M2,8,512,0,Mac,10-CORE GPU,13.6,2560 x 1664,8,0,45,137990,OTHER,Integrated,0,OTHER,APPLE,M2,2,APPLE
Asus TUF Gaming F15 FA506IHRB-HN079W Gaming Laptop,Asus,AMD Ryzen 5 4600H,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,72,55990,NVIDIA,Dedicated,4,GTX,AMD,RYZEN 5,4000,H
Asus Vivobook S15 OLED S3502ZA-L502WS Laptop,Asus,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,12,16,65,72000,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
HP Pavilion 14-dv2053TU Laptop,HP,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,10,12,60,62278,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
HP Pavilion 15s-fq5010TU Laptop,HP,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,12,16,62,63350,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Lenovo Ideapad Slim 3 81WB01EBIN Laptop,Lenovo,10th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED,15.6,1920 x 1080,2,4,60,36490,INTEL,Integrated,0,OTHER,INTEL,CORE I3,10,OTHER
HP Pavilion 15s-FQ5009TU Laptop,HP,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,59,60500,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Samsung Galaxy Book2 Laptop,Samsung,12th Gen Core i5,8,512,0,Windows,4 GB INTEL ARC A350M,15.6,1920 x 1080,12,16,63,79990,INTEL,Dedicated,4,ARC,INTEL,CORE I5,12,OTHER
Asus Strix G15 G513RM-HQ271WS Gaming Laptop,Asus,Ryzen 7 6800H,16,1000,0,Windows,6 GB NVIDIA RTX 3060,15.6,2560 x 1440,8,16,82,124990,NVIDIA,Dedicated,6,RTX,AMD,RYZEN 7,6000,H
Dell Inspiron 5520 Laptop,Dell,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,12,16,73,79990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,12,OTHER
Asus Vivobook S14 OLED S3402ZA-KM501WS Laptop,Asus,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,14.0,2880 x 1800,12,16,63,70990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
HP Pavilion 15-EG2019TX Laptop,HP,12th Gen Core i5,16,512,0,Windows,2 GBNVIDIA MX550,15.6,1920 x 1080,10,12,60,78200,NVIDIA,Dedicated,2,MX,INTEL,CORE I5,12,OTHER
Samsung Galaxy Book2 15 Laptop,Samsung,12th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,62,79990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Samsung Galaxy Book2 15 Laptop,Samsung,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,60,64490,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Dell G15-5511 Gaming Laptop,Dell,11th Gen Core i5,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,6,12,67,65990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,11,OTHER
Lenovo IdeaPad 3 81WQ00MQIN Laptop,Lenovo,Celeron N4020,8,256,0,Windows,INTEL INTEGRATED UHD,15.6,1366 x 768,2,2,51,26585,INTEL,Integrated,0,UHD,INTEL,CELERON,0,OTHER
Dell G15-5520 Laptop,Dell,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,12,16,67,84990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,12,OTHER
HP Pavilion 15-EG2035TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL UHD,15.6,1920 x 1080,8,12,67,71999,INTEL,Integrated,0,UHD,INTEL,CORE I5,12,OTHER
Acer Nitro 5 AN515-58 Gaming Laptop,Acer,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,8,16,69,76109,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,12,OTHER
Asus TUF Gaming A15 2021 FA506QM-HN124W Laptop,Asus,Ryzen 9 5900HX,16,512,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,8,16,75,98900,NVIDIA,Dedicated,6,RTX,AMD,RYZEN 9,5000,HX
Lenovo V15-IGL 82C3A008IH Laptop,Lenovo,Celeron N4020,4,256,0,DOS,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,2,43,19990,INTEL,Integrated,0,UHD,INTEL,CELERON,0,OTHER
Dell Latitude 3420 Laptop,Dell,11th Gen Core i5,16,256,1000,Windows,INTEL UHD,14.0,1366 x 768,4,8,65,76900,INTEL,Integrated,0,UHD,INTEL,CORE I5,11,OTHER
Dell Inspiron 3521 Laptop,Dell,Pentium N5030,8,256,0,Windows,INTEL INTEGRATED UHD,15.6,1366 x 768,4,0,49,32033,INTEL,Integrated,0,UHD,INTEL,PENTIUM,0,OTHER
Dell Vostro 5625 laptop,Dell,Ryzen 5-5625U,16,512,0,Windows,AMD VEGA,16.0,1920 x 1200,6,12,72,62490,AMD,Integrated,0,VEGA,AMD,RYZEN 5,5000,U
HP 240 G8 Laptop,HP,11th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED,14.0,1366 x 768,4,8,51,60618,INTEL,Integrated,0,OTHER,INTEL,CORE I5,11,OTHER
HP Pavilion 15-eh2018AU Laptop,HP,Ryzen 5 5625U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,6,12,60,52490,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
HP Pavilion 14-ec1003AU Laptop,HP,Ryzen 5,8,512,0,Windows,AMD RADEON,14.0,1920 x 1080,6,12,60,51990,AMD,Integrated,0,OTHER,AMD,RYZEN 5,0,OTHER
Samsung Galaxy Book2 Pro 360 13 Laptop,Samsung,12th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,13.3,1080 x 1920,8,16,73,113990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Dell Vostro 3510 Laptop,Dell,11th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,4,8,60,54490,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
Asus Vivobook 15 X515MA-BR101W Laptop,Asus,Pentium Quad Core,4,0,1000,Windows,INTEL UHD,15.6,1366 x 768,4,0,48,23399,INTEL,Integrated,0,UHD,INTEL,PENTIUM,0,OTHER
Samsung Galaxy Book2 Pro 360 13 Laptop,Samsung,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,13.3,1080 x 1920,12,16,72,110990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Asus Vivobook 13 Slate OLED T3300KA-LQ111WS Laptop,Asus,Pentium Silver N6000,8,256,0,Windows,INTEL UHD,13.3,1920 x 1080,4,4,54,43290,INTEL,Integrated,0,UHD,INTEL,PENTIUM,0,OTHER
Apple MacBook Air 2020 Z124J002KD Laptop,Apple,Apple M1,16,512,0,Mac,APPLE M1 INTEGRATED,13.3,2560 x 1600,8,0,53,125990,APPLE,Integrated,0,APPLE,APPLE,M1,1,APPLE
HP 14s-fq1089au Laptop,HP,Ryzen 3 5300U,8,512,0,Windows,AMD RADEON,14.0,1920 x 1080,4,8,51,40300,AMD,Integrated,0,OTHER,AMD,RYZEN 3,5000,U
HP 15s- fq4021TU Laptop,HP,11th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,4,8,54,55499,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
Apple MacBook Air 2020 Z124J001KD Laptop,Apple,Apple M1,16,256,0,Mac,APPLE M1 INTEGRATED,13.3,2560 x 1600,8,0,43,105990,APPLE,Integrated,0,APPLE,APPLE,M1,1,APPLE
HP 15s-eq2143au Laptop,HP,Ryzen 3 5300U,8,512,0,Windows,AMD RADEON AMD,15.6,1920 x 1080,4,8,56,39648,AMD,Integrated,0,OTHER,AMD,RYZEN 3,5000,U
Dell Inspiron 3511 Laptop,Dell,11th Gen Core i5,8,256,1000,Windows,2 GBNVIDIA MX350,15.6,1920 x 1080,4,8,65,62812,NVIDIA,Dedicated,2,MX,INTEL,CORE I5,11,OTHER
Lenovo IdeaPad 3 82H801L7IN,Lenovo,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,53,37952,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Dell Latitude 7410 Laptop,Dell,10th Gen Core i5,8,256,0,Windows,INTEL UHD,14.0,1920 x 1080,4,8,60,77499,INTEL,Integrated,0,UHD,INTEL,CORE I5,10,OTHER
HP Pavilion 15-EC2145AX Gaming Laptop,HP,Ryzen 5 5600H,8,512,0,Windows,4 GB NVIDIA GTX 3050,15.6,1920 x 1080,6,12,63,64990,NVIDIA,Dedicated,4,GTX,AMD,RYZEN 5,5000,H
HP Pavilion 15-ec2150AX Laptop,HP,Ryzen 5 5600H,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,68,59910,NVIDIA,Dedicated,4,GTX,AMD,RYZEN 5,5000,H
Dell Latitude 5420 Laptop,Dell,11th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,4,8,61,112000,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,11,OTHER
HP 14s-dy2506TU Laptop,HP,11th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,4,8,50,35490,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Lenovo IdeaPad 3 15ITL6 82H801L3IN Laptop,Lenovo,11th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,54,36001,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Infinix INBook X1 XL12 Laptop,Infinix,10th Gen Core i7,16,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,4,8,55,46990,INTEL,Integrated,0,UHD,INTEL,CORE I7,10,OTHER
Asus Vivobook X415EA-EB372WS Laptop,Asus,11th Gen Core i3,8,256,1000,Windows,INTEL UHD,14.1,1920 x 1080,2,4,54,38990,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Asus VivoBook 15 2021 X515JA-EJ362WS Laptop,Asus,10th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,50,32990,INTEL,Integrated,0,UHD,INTEL,CORE I3,10,OTHER
HP Pavilion 15-dk2095TX Gaming Laptop,HP,11th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,4,8,55,61990,NVIDIA,Dedicated,4,GTX,INTEL,CORE I5,11,OTHER
Apple MacBook Pro 16 inch MK1A3HN Laptop,Apple,M1 Max 10-core CPU,32,1000,0,Mac,32-CORE GPU,16.2,3456 x 2234,10,0,61,296894,OTHER,Integrated,0,OTHER,APPLE,M1,1,APPLE
Lenovo V15 82C30052IH Laptop,Lenovo,Intel Celeron N4020,4,0,1000,DOS,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,2,43,21999,INTEL,Integrated,0,UHD,INTEL,CELERON,0,OTHER
Dell Inspiron 3511 Laptop,Dell,11th Gen Core i3,8,256,1000,Windows,INTEL INTEGRATED,15.6,1920 x 1080,2,4,54,41490,INTEL,Integrated,0,OTHER,INTEL,CORE I3,11,OTHER
HP Pavilion 15-ec2008AX Gaming Laptop,HP,Ryzen 5 5600H,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,71,58635,NVIDIA,Dedicated,4,GTX,AMD,RYZEN 5,5000,H
Asus VivoBook 15 X515EA-BQ312TS Laptop,Asus,11th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,59,34994,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Xiaomi Mi Notebook Ultra Laptop,Xiaomi,11th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,3200 x 2000,4,8,66,62999,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
MSI Bravo 15 B5DD-043IN Gaming Laptop,MSI,Ryzen 5 5600H,8,512,0,Windows,4 GB AMD RADEON RX5500M,15.6,1920 x 1080,6,12,69,58500,AMD,Dedicated,4,RX,AMD,RYZEN 5,5000,H
Lenovo IdeaPad 3 15ITL6 82H800U5IN Laptop,Lenovo,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,55,37600,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Xiaomi RedmiBook e-Learning Edition,Xiaomi,11th Gen Core i3,8,256,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,55,30990,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Realme Book Slim Laptop,Realme,11th Gen Core i3,8,256,0,Windows,INTEL UHD,14.0,1440 x 2160,2,4,53,46990,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
