model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),Operating System,graphics,screen_size(inches),resolution (pixels),no_of_cores,no_of_threads,spec_score,price
Dell Latitude 5420 Laptop,Dell,11th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,4,8,61,112000
HP 14s-dy2506TU Laptop,HP,11th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,4,8,50,35490
Lenovo IdeaPad 3 15ITL6 82H801L3IN Laptop,Lenovo,11th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,54,36001
Infinix INBook X1 XL12 Laptop,Infinix,10th Gen Core i7,16,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,4,8,55,46990
Asus Vivobook X415EA-EB372WS Laptop,Asus,11th Gen Core i3,8,256,1000,Windows,INTEL UHD,14.1,1920 x 1080,2,4,54,38990
Asus VivoBook 15 2021 X515JA-EJ362WS Laptop,Asus,10th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,50,32990
HP Pavilion 15-dk2095TX Gaming Laptop,HP,11th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,4,8,55,61990
Apple MacBook Pro 16 inch MK1A3HN Laptop,Apple,M1 Max 10-core CPU,32,1000,0,Mac,32-CORE GPU,16.2,3456 x 2234,10,0,61,296894
Lenovo V15 82C30052IH Laptop,Lenovo,Intel Celeron N4020,4,0,1000,DOS,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,2,43,21999
Dell Inspiron 3511 Laptop,Dell,11th Gen Core i3,8,256,1000,Windows,INTEL INTEGRATED,15.6,1920 x 1080,2,4,54,41490
HP Pavilion 15-ec2008AX Gaming Laptop,HP,Ryzen 5 5600H,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,71,58635
Asus VivoBook 15 X515EA-BQ312TS Laptop,Asus,11th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,59,34994
Xiaomi Mi Notebook Ultra Laptop,Xiaomi,11th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,3200 x 2000,4,8,66,62999
MSI Bravo 15 B5DD-043IN Gaming Laptop,MSI,Ryzen 5 5600H,8,512,0,Windows,4 GB AMD RADEON RX5500M,15.6,1920 x 1080,6,12,69,58500
Lenovo IdeaPad 3 15ITL6 82H800U5IN Laptop,Lenovo,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,55,37600
Xiaomi RedmiBook e-Learning Edition,Xiaomi,11th Gen Core i3,8,256,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,55,30990
Realme Book Slim Laptop,Realme,11th Gen Core i3,8,256,0,Windows,INTEL UHD,14.0,1440 x 2160,2,4,53,46990
Lenovo IdeaPad 3 15ITL6 82H8014BIN Laptop,Lenovo,11th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,4,8,61,55850
Asus ROG Flow X13 GV301QH-K5462TS Gaming Laptop,Asus,AMD Ryzen 9,16,1000,0,Windows,4 GB NVIDIA GTX 1650,13.4,3840 x 2400,8,16,84,105990
Lenovo Yoga 9i 82BG005JIN Laptop,Lenovo,11th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE,14.0,3840 x 2160,4,8,67,172990
Dell Inspiron 3501 Laptop,Dell,11th Gen Core i5,8,256,1000,Windows,INTEL IRIS XE,15.6,1920 x 1080,4,8,57,61640
Apple MacBook Air 2020 MGN73HN Laptop,Apple,Apple M1,8,512,0,Mac,APPLE M1 INTEGRATED,13.3,2560 x 1600,8,0,47,109990
Dell Inspiron 3593 Laptop,Dell,10th Gen Core i3,4,0,1000,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,55,36990
Microsoft Surface Laptop 3 1873,Microsoft,V4G-00021) Laptop,8,128,0,Windows,AMD RADEON VEGA 9,15.0,2496 x 1664,4,8,59,99990
HP EliteBook 840 G6,HP,7YY01PA) Laptop,8,512,0,Windows,2 GBRADEON RX 550,14.0,1920 x 1080,4,8,66,146000
Dell Latitude 5320 2-in-1 Laptop,Dell,11th Gen Core i5,16,256,0,Windows,INTEL UHD,13.3,1920 x 1080,4,8,65,87999
Lenovo V15 ITL 82KBA03JIH Laptop,Lenovo,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,51,33990
Asus VivoBook 15 X1500EA-EJ3381WS Laptop,Asus,11th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,51,39400
HP Envy x360 15-ew0037TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,10,12,72,82999
HP 15s-eq2213AU Laptop,HP,AMD Ryzen 3 5300U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,4,8,55,40960
Asus Vivobook Pro 16X OLED N7601ZM-MQ711WS Gaming Laptop,Asus,12th Gen Core i7,16,1000,0,Windows,6 GB NVIDIA RTX 3060,16.0,3840 x 2400,10,16,86,168990
HP Victus 16-d0310TX Gaming Laptop,HP,11th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,16.1,1920 x 1080,6,12,72,84419
HP Victus 15-fb0777AX Gaming Laptop,HP,AMD Ryzen 5 5600H,8,512,0,Windows,4 GB AMD RADEON RX 6500M,15.6,1920 x 1080,6,12,68,70816
HP Victus 16-d0311TX Gaming Laptop,HP,11th Gen Core i5,16,512,0,Windows,4 GB NVIDIA GTX 1650,16.1,1920 x 1080,6,12,74,75990
Dell G15-5520 D560897WIN9S Laptop,Dell,12th Gen Core i9,16,1000,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,14,20,78,149899
HP Victus 16-e0333TX Gaming Laptop,HP,AMD Ryzen 5 5600H,16,512,0,Windows,6 GB NVIDIA RTX 3060,16.1,1920 x 1080,6,12,73,92990
Lenovo Legion 5 Pro 82RG00ELIN Laptop,Lenovo,AMD Ryzen 7 6800H,16,1000,0,Windows,6 GB NVIDIA RTX 3060,16.0,2560 x 1600,8,16,75,159990
MSI Katana GF66 12UD Gaming Laptop,MSI,12th Gen Core i7,16,512,0,Windows,4 GB NVIDIA RTX 3050TI,15.6,1920 x 1080,14,20,76,105000
MSI Pulse GL66 12UGSZOK Gaming Laptop,MSI,12th Gen Core i9,16,1000,0,Windows,8 GB NVIDIA RTX 3070TI,15.6,2560 x 1440,14,20,80,209000
HP Pavilion 15-eg2091TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,12,16,63,74098
HP Envy x360 15-ew0043TU 2-in-1 Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,71,99999
HP Envy x360 15-ew0047TU 2-in-1 Laptop,HP,12th Gen Core i7,16,512,0,Windows,INTEL IRIS X,15.6,1920 x 1080,10,12,72,116000
HP ProBook 445 G8 Laptop,HP,AMD Ryzen 7 5800U,16,512,0,Windows,AMD RADEON,14.0,1366 x 768,8,16,72,73999
Apple MacBook Pro 16 inch Laptop,Apple,M2 Pro 12-core CPU,16,1000,0,Mac,19-CORE GPU,16.2,3456 x 2234,12,0,59,269900
Apple MacBook Pro 16 inch Laptop,Apple,M2 Pro 12-core CPU,16,512,0,Mac,19-CORE GPU,16.2,3456 x 2234,12,0,55,249900
Apple MacBook Pro 14 inch Laptop,Apple,M2 Max 12-core CPU,32,1000,0,Mac,30-CORE GPU,14.2,3024 x 1964,12,0,62,309900
Apple MacBook Pro 14 inch Laptop,Apple,M2 Pro 12-core CPU,16,1000,0,Mac,19-CORE GPU,14.2,3024 x 1964,12,0,56,249900
Apple MacBook Pro 14 inch Laptop,Apple,M2 Pro 10-core CPU,16,512,0,Mac,16-CORE GPU,14.2,3024 x 1964,10,0,54,199900
HP Pavilion Plus 14-eh0037TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,14.0,2880 x 1800,12,16,71,81990
Apple MacBook Pro 2022 Laptop,Apple,Apple M2,16,256,0,Mac,10 CORE GPU,13.3,2560 x 1600,8,0,44,149000
Apple MacBook Air M2 2022 Laptop,Apple,Apple M2,16,512,0,Mac,10-CORE GPU,13.6,2560 x 1664,8,0,47,159000
Apple MacBook Air 2022 Laptop,Apple,Apple M2,16,256,0,Mac,10-CORE GPU,13.6,2560 x 1664,8,0,44,137900
Samsung Galaxy Book2 NP550XED-KA2IN Laptop,Samsung,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,8,12,59,70990
Lenovo Legion 7i 82TD009KIN Gaming Laptop,Lenovo,12th Gen Core i9,32,1000,0,Windows,16 GB NVIDIA RTX 3080 TI,16.0,2560 x 1600,16,24,90,359990
Dell Inspiron 3511 D560783WIN9BD Laptop,Dell,11th Gen Core i3,8,512,0,Windows,INTEL UHD,15.56,1920 x 1080,2,4,57,61202
Dell Vostro 3425 D552308WIN9B Laptop,Dell,AMD Ryzen 3 5425U,8,256,0,Windows,AMD RADEON AMD,14.0,1920 x 1080,4,8,61,50852
HP 245 G8 ‎6E3Z1PA Laptop,HP,AMD Ryzen 3 3250U,8,512,0,DOS,AMD RADEON,14.0,1366 x 768,2,4,53,36000
MSI Modern 14 C12M-269IN Laptop,MSI,12th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,6,8,61,44990
Dell Inspiron 5420 ICC-C782537WIN8 Laptop,Dell,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,14.0,1920 x 1080,12,16,68,91958
HP 15s-du3612TU Laptop,HP,11th Gen Core i3,8,256,1000,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,62,41990
Infinix INBook X2 Plus XL25 Laptop,Infinix,11th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,4,8,53,49990
Dell Inspiron 3520 Laptop,Dell,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,61,62029
Dell Vostro 3420 Laptop,Dell,12th Gen Core i5,16,512,0,Windows,INTEL UHD,14.0,1920 x 1080,10,12,61,69900
Dell Inspiron 3520 2022 Laptop,Dell,12th Gen Core i5,8,256,1000,Windows,2 GBNVIDIA MX550,15.6,1920 x 1080,10,12,67,72990
HP Envy x360 15-ew0040TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,10,12,67,77990
HP Envy x360 15-ew0048TU Laptop,HP,12th Gen Core i7,16,1000,0,Windows,INTEL INTEGRATED IRIS XE,15.6,2880 x 1800,10,12,73,109990
HP Envy x360 15-ew0043TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,10,12,65,84990
Dell G15-5520 Gaming Laptop,Dell,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,12,16,75,79990
HP Pavilion 14-ec1005AU Laptop,HP,Ryzen 5 5625U,16,512,0,Windows,AMD RADEON,14.0,1920 x 1080,6,12,61,59815
HP Pavilion 14-ec1005AU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,12,16,63,75990
HP Envy x360 13-bf0121TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,13.4,1920 x 1200,10,12,72,79990
HP Envy x360 13-ay1064AU 2-in-1 Laptop,HP,Ryzen 7 5800U,16,512,0,Windows,AMD RADEON,13.3,1920 x 1080,8,16,72,98000
Dell Vostro 3520 Laptop,Dell,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,56,60070
Asus ROG Zephyrus G15 GA503RMZ-LN155WS Gaming Laptop,Asus,AMD Ryzen 7 6800HS,16,1000,0,Windows,6 GB NVIDIA RTX 3060,15.6,2560 x 1440,8,16,81,157990
Dell Vostro 3420 Laptop,Dell,12th Gen Core i5,8,512,0,Windows,INTEL UHD,14.0,1920 x 1080,10,12,59,57990
Dell Vostro 3525 Laptop,Dell,AMD R5-5625U,16,512,0,Windows,AMD RADEON RADEON,15.6,1920 x 1080,6,12,62,55530
Dell Vostro 3525 Laptop,Dell,AMD Ryzen 5-5625U,8,512,0,Windows,AMD RADEON RADEON,15.6,1920 x 1080,6,12,60,51499
Dell Vostro 3420 Laptop,Dell,12th Gen Core i3,8,512,0,Windows,INTEL UHD,14.0,1920 x 1080,6,8,56,43990
Asus ROG Zephyrus G15 GA503RSZ-HQ061WS Gaming Laptop,Asus,AMD Ryzen 9 6900HS,16,1000,0,Windows,8 GB NVIDIA RTX 3070TI,15.6,2560 x 1440,8,16,85,211990
MSI Modern 15 B12M Laptop,MSI,12th Gen Core i7,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,10,12,62,67990
MSI Modern 15 B12M Laptop,MSI,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,10,12,62,57990
MSI Modern 14 C12M Laptop,MSI,12th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED IRIS XE,14.0,1920 x 1080,10,12,59,56990
Asus Vivobook 15 X1502ZA-EJ381WS Laptop,Asus,12th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,10,12,55,42990
HP 240 G8 Business Laptop,HP,11th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED,14.0,1366 x 768,4,8,56,52999
HP Victus 15-fa0031dx Gaming Laptop,HP,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,8,12,69,79888
Lenovo Thinkpad P15v 21AAS05L00 Laptop,Lenovo,11th Gen Core i7,16,1000,0,Windows,4 GB NVIDIA QUADRO T600,15.6,1920 x 1080,8,16,79,159999
Acer Aspire 5 A515-57 2022 Laptop,Acer,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,66,61990
HP Pavilion x360 14-ek0137TU Laptop,HP,12th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,6,8,66,59990
Dell Vostro 3510 ICC-D585046WIN8 Laptop,Dell,Intel Pentium Gold 7505,8,256,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,53,32990
HP 240 G8 4K5D5PA Business Laptop,HP,11th Gen Core i3,8,512,0,DOS,INTEL INTEGRATED,14.0,1366 x 768,2,4,44,35000
Lenovo E41-55 82FJ00B5IH Laptop,Lenovo,Athlon 3050U,4,0,1000,DOS,AMD RADEON AMD,14.0,1366 x 768,2,2,47,18990
Lenovo E41-55 82FJ00B5IH Laptop,Lenovo,Athlon 3050U,4,256,0,DOS,AMD RADEON AMD,14.0,1366 x 768,2,2,48,18990
MSI Katana GF66 12UC-632IN Gaming Laptop,MSI,12th Gen Core i7,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,14,20,73,80990
Lenovo IdeaPad Flex 5 14ALC7 82R9006PIN Laptop,Lenovo,AMD Ryzen 5 5500U,16,512,0,Windows,AMD RADEON,14.0,1920 x 1200,6,12,69,72690
Lenovo V14 Gen 2 ‎82C40019IX Laptop,Lenovo,11th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,4,8,56,49999
Asus ROG Strix G15 G513IE-HN088WS Gaming Laptop,Asus,Ryzen 7 4800H,8,512,0,Windows,4 GB NVIDIA RTX 3050 TI,15.6,1920 x 1080,8,16,69,76990
Asus Vivobook 14 OLED UX3402ZA-KN531WS Laptop,Asus,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,14.0,2880 x 1800,12,16,69,95980
Lenovo IdeaPad Slim 3 82RJ0040IN Laptop,Lenovo,12th Gen Core i3,8,512,0,Windows,INTEL UHD,14.0,1920 x 1080,6,8,59,52900
Ultimus S151 NU14U2INC43VN-CS Laptop,Ultimus,Celeron N4020,4,128,0,Windows,INTEL INTEGRATED UHD,14.1,1920 x 1080,2,2,48,19990
HP Pavilion 14-dv2014TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,10,12,65,68918
Ultimus S151 NU14U2INC43VD-CS Laptop,Ultimus,Celeron N4020,4,128,0,DOS,INTEL INTEGRATED UHD,14.1,1920 x 1080,2,2,44,17990
Ultimus S152 NU15U2INC44VN-SG Laptop,Ultimus,Celeron N4020,4,256,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,2,50,23990
Lenovo Legion S7 82TF007LIN Gaming Laptop,Lenovo,12th Gen Core i7,16,1000,0,Windows,4 GB NVIDIA RTX 3050 TI,16.0,2560 x 1600,14,20,84,149990
Acer Aspire 5 A515-57 NX.K2VSI.002 Laptop,Acer,12th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,6,8,59,42990
MSI Stealth GS66 12UGS-290IN Gaming Laptop,MSI,12th Gen Core i7,32,1000,0,Windows,8 GB NVIDIA RTX 3070TI,15.6,2560 x 1440,14,20,96,288990
HP Envy x360 13-AY1065AU Laptop,HP,AMD Ryzen 5-5600U,8,512,0,Windows,AMD RADEON,13.3,1920 x 1080,6,12,65,75190
Dell Latitude 14 7420 Laptop,Dell,11th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,4,8,57,98280
Acer Aspire 5 A515-57 Laptop,Acer,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,63,57990
Lenovo IdeaPad Slim 3 82H802XXIN Laptop,Lenovo,11th Gen Core i5,16,512,0,Windows,INTEL UHD,15.6,1920 x 1080,4,8,63,59290
Gigabyte G5 KE RC55KE Laptop,Gigabyte,12th Gen Core i5,16,512,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,12,16,74,103890
Gigabyte G5 ME RC55ME Laptop,Gigabyte,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050 TI,15.6,1920 x 1080,12,16,68,85990
Gigabyte G5 GE RC55GE Laptop,Gigabyte,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,12,16,66,109990
Dell Inspiron 7420 D560918WIN9S Laptop,Dell,12th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,10,12,67,74990
Lenovo ThinkPad X13 21BNS03K00 Laptop,Lenovo,12th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,13.3,1920 x 1200,12,16,71,200000
Acer Nitro 5 AN515-45 UN.QCLSI.005 Gaming Laptop,Acer,AMD Ryzen 5 5600H,16,512,1000,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,6,12,72,75990
Acer Nitro 5 AN515-45 UN.QCLSI.006 Gaming Laptop,Acer,AMD Ryzen 5 5600H,8,512,1000,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,6,12,69,68990
Acer Nitro 5 AN515-45 UN.QBMSI.009 Gaming Laptop,Acer,AMD Ryzen 5 5600H,16,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,71,63990
HP Envy x360 13-bf0085TU Laptop,HP,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,13.3,1920 x 1200,10,12,63,79990
HP 240 G8 Business Laptop,HP,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED,14.0,1366 x 768,2,4,49,34440
Lenovo Ideapad Slim 3 81WD014XIN Laptop,Lenovo,10th Gen Core i3,4,256,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,54,31990
Lenovo ThinkPad T14 20W0S1HU00 Laptop,Lenovo,11th Gen Core i7,16,512,0,Windows,2 GBNVIDIA MX450,14.0,1920 x 1080,4,8,69,140200
HP Pavilion 14-ek0084TU Laptop,HP,12th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED IRIS XE,14.0,1920 x 1080,10,12,60,71020
Asus Eeebook 14 E410KA-BV092W Laptop,Asus,Celeron N4500,4,256,0,Windows,INTEL UHD,14.0,1920 x 1080,2,2,44,24500
HP 240 G8 689T7PA Business Laptop,HP,intel Core i3,8,512,0,Windows,INTEL INTEGRATED,14.0,1366 x 768,0,0,50,34440
Lenovo ThinkPad E14 G3 20Y700B5IG Laptop,Lenovo,Ryzen 7 5700U,16,512,0,Windows,AMD RAEDON,14.0,1920 x 1080,8,16,68,74990
Lenovo V14 82KAA057IH Laptop,Lenovo,11th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,2,4,53,32499
Lenovo IdeaPad Slim 3 82H802XVIN Laptop,Lenovo,11th Gen Core i3,8,256,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,48,37100
Lenovo ThinkPad E14 Gen 2 20TAS08F00 Laptop,Lenovo,11th Gen Core i5,8,512,0,Windows,INTEL UHD,14.1,1920 x 1080,4,8,61,76890
Dell Inspiron 3520 D560878WIN9S Laptop,Dell,12th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED INTEGRATED,15.6,1920 x 1080,10,12,57,64490
Asus Vivobook 14 OLED UX3402ZA-KN731WS Laptop,Asus,12th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,14.0,2880 x 1800,12,16,69,108990
Lenovo Ideapad Slim 3 81WB01FYIN Laptop,Lenovo,10th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED,15.6,1920 x 1080,2,4,50,33990
Dell Inspiron 3525 D560863WIN9B Laptop,Dell,AMD Ryzen 5 5625U,8,512,0,Windows,AMD RADEON RADEON,15.6,1920 x 1080,6,12,62,51490
Lenovo Thinkpad E14 Gen 2 20TAS0Y800 Laptop,Lenovo,11th Gen Core i5,8,512,0,DOS,INTEL UHD,14.1,1920 x 1080,4,8,50,72990
Asus TUF Gaming F15 FX506LHB-HN358W Gaming Laptop,Asus,10th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,4,8,63,54990
MSI Stealth 17M A12UE Gaming Laptop,MSI,12th Gen Core i7,16,1000,0,Windows,6 GB NVIDIA RTX 3060,17.3,1920 x 1080,14,20,73,149990
MSI Modern 15 A5M-055IN Laptop,MSI,Ryzen 5 5500U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,6,12,57,57990
Lenovo Thinkpad E14 Gen 2 20TAS0E800 Laptop,Lenovo,11th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,14.0,1080 x 1920,4,8,67,77500
Dell Vostro 3420 D552278WIN9S Laptop,Dell,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED,14.0,1920 x 1080,2,4,57,47000
Lenovo ‎ThinkPad E14 Gen 4 Laptop,Lenovo,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,10,12,57,74500
Dell Alienware X17 R1 D569936WIN9 Gaming Laptop,Dell,11th Gen Core i9,32,1000,0,Windows,16 GB NVIDIA RTX 3080,17.3,1920 x 1080,8,16,79,312199
Lenovo V15 82KBA02UIH Laptop,Lenovo,11th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,53,36990
Lenovo Thinkpad P15v 21D8S00V00 Laptop,Lenovo,12th Gen Core i7,32,1000,0,Windows,4 GB NVIDIA QUADRO T1200,15.6,1920 x 1080,14,20,76,190400
Microsoft Surface Laptop 5 ‎RBG-00048 13.5 inch,Microsoft,12th Gen Core i7,8,256,0,Windows,INTEL IRIS XE,13.5,2256 x 1504,10,12,57,178999
Microsoft Surface Pro 9 ‎QIL-00031 Laptop,Microsoft,12th Gen Core i7,16,256,0,Windows,INTEL IRIS XE,13.0,2880 x 1920,10,12,56,167999
Microsoft Surface Pro 9 ‎‎QIX-00031 Laptop,Microsoft,12th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,13.0,2880 x 1920,10,12,54,192990
Microsoft Surface Laptop 5 ‎RIP-00048 15 inch,Microsoft,12th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,15.0,2496 x 1664,10,12,63,182990
Dell Inspiron 14 5415 Laptop,Dell,Ryzen 5 5500U,8,512,0,Windows,AMD RADEON AMD,14.0,1920 x 1080,6,12,61,55999
Lenovo Legion 5 Pro 82RF00E1IN Gaming Laptop,Lenovo,12th Gen Core i7,32,1000,0,Windows,8 GB NVIDIA RTX 3070TI,16.0,2560 x 1600,14,20,91,218000
Lenovo Ideapad Slim 3 81WE01QSIN Laptop,Lenovo,10th Gen Core i3,4,256,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,50,29990
Acer Aspire 3 A315-58 Laptop,Acer,11th Gen Core i5,12,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,4,8,60,49312
Asus E410 Eeebook E410KA-BV003W Laptop,Asus,Celeron N4500,4,256,0,Windows,INTEL UHD,14.0,1920 x 1080,2,2,45,24415
Asus Vivobook 15 2022 X1502ZA-EJ515WS Laptop,Asus,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,62,56990
Lenovo Thinkbook 14 20VD011EIH Laptop,Lenovo,11th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,4,8,61,103600
Acer Swift 3 SF314-43 Laptop,Acer,Ryzen 5 5500U,8,512,0,Windows,AMD RADEON 5500U,14.0,1920 x 1080,6,12,65,61500
Lenovo V15 G2-ITL 82KBA034IH Laptop,Lenovo,11th Gen Core i3,8,512,0,DOS,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,47,34499
Dell XPS 9315 Laptop,Dell,12th Gen Core i7,16,1000,0,Windows,IRIS XE,13.4,1920 x 1080,10,12,53,185800
Dell Inspiron 5415 Laptop,Dell,Ryzen 7 5700U,16,512,0,Windows,AMD RADEON AMD,14.0,1920 x 1080,8,16,62,89976
HP Victus 16-e0550AX Gaming Laptop,HP,AMD Ryzen 7 5800H,8,512,0,Windows,4 GB AMD RADEON RX 5500M,16.0,1920 x 1080,8,16,68,68990
Asus VivoBook 14 X415MA-BV102WS Laptop,Asus,Pentium Silver N5030,8,256,0,Windows,INTEL INTEGRATED UHD,14.1,1366 x 768,4,0,49,27990
Asus VivoBook 15 2022 X515JA-EJ592WS Laptop,Asus,10th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,4,8,59,44990
Dell Inspiron 3520 Laptop,Dell,12th Gen Core i5,8,512,0,Windows,2 GBNVIDIA MX550,15.6,1920 x 1080,10,12,61,66111
Dell G15-5520 D560895WIN9S Laptop,Dell,12th Gen Core i7,16,512,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,10,16,80,124400
Acer One 14 Z2-493 UN.431SI.129 Laptop,Acer,AMD Ryzen 3 3250U,8,0,1000,Windows,AMD RADEON RADEON,14.0,1366 x 768,2,4,51,39999
HP 15s-fq2670TU Laptop,HP,11th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED,15.6,1920 x 1080,2,4,54,37490
Asus VivoBook 15 X515JA-EJ392WS Laptop,Asus,10th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,56,34490
Lenovo IdeaPad Slim 3 82RK007JIN Laptop,Lenovo,12th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,6,8,57,45500
